stationCode,stationName,latitude,longitude,state,district,tehsil,groundwater_level,datetime,unit,village,well_type,well_depth,well_aquifer_type
1.90E+14,Mahalunge Padval_Pz,19.0667,73.925,Maharashtra,Pune,AMBEGAON,5.38,14-03-2023 10:00,m,Mahalunge Padval,Bore Well,33,Unconfined
1.92E+14,Otur,19.2708,73.9667,Maharashtra,Pune,JUNNAR,12.9,30-11-2021 06:00,m,Otur,Dug Well,26.5,Unconfined
1.92E+14,Otur,19.2708,73.9667,Maharashtra,Pune,JUNNAR,13.35,30-01-2022 07:00,m,Otur,Dug Well,26.5,Unconfined
1.92E+14,Otur,19.2708,73.9667,Maharashtra,Pune,JUNNAR,14.6,30-05-2022 06:00,m,Otur,Dug Well,26.5,Unconfined
1.92E+14,Otur,19.2708,73.9667,Maharashtra,Pune,JUNNAR,11,30-08-2022 06:00,m,Otur,Dug Well,26.5,Unconfined
1.92E+14,Otur,19.2708,73.9667,Maharashtra,Pune,JUNNAR,10.15,30-11-2022 06:00,m,Otur,Dug Well,26.5,Unconfined
1.92E+14,Otur,19.2708,73.9667,Maharashtra,Pune,JUNNAR,11.96,14-03-2023 10:00,m,Otur,Dug Well,26.5,Unconfined
1.92E+14,Otur,19.2708,73.9667,Maharashtra,Pune,JUNNAR,12.88,10-05-2023 10:00,m,Otur,Dug Well,26.5,Unconfined
1.91E+14,Narayangaon,19.1333,73.9833,Maharashtra,Pune,JUNNAR,6.3,30-11-2021 06:00,m,Narayangaon,Dug Well,9.22,Unconfined
1.91E+14,Narayangaon,19.1333,73.9833,Maharashtra,Pune,JUNNAR,6.6,30-01-2022 07:00,m,Narayangaon,Dug Well,9.22,Unconfined
1.91E+14,Narayangaon,19.1333,73.9833,Maharashtra,Pune,JUNNAR,7.49,30-05-2022 06:00,m,Narayangaon,Dug Well,9.22,Unconfined
1.91E+14,Narayangaon,19.1333,73.9833,Maharashtra,Pune,JUNNAR,4.97,30-08-2022 06:00,m,Narayangaon,Dug Well,9.22,Unconfined
