gw_code,gw_name,gw_lat,gw_lon,gw_tehsil,gw_block
1.904E+14,Mahalunge Padval_Pz,19.0667,73.925,AMBEGAON,HGZ
1.91615E+14,Otur,19.2708,73.9667,JUNNAR,HGZ
1.908E+14,Narayangaon,19.1333,73.9833,JUNNAR,HGZ
1.90805E+14,Belhe-1,19.1347,74.1958,JUNNAR,HGZ
1.85834E+14,Ausari Khurd-1,18.9761,73.8575,AMBEGAON,HGZ
1.91E+14,Ane,19.1667,74.2167,JUNNAR,HGZ
1.91005E+14,Ale-1,19.1681,74.0847,JUNNAR,HGZ
1.805E+14,Nimbgaon-Ketke,18.0833,74.9167,INDAPUR,HGZ
1.8054E+14,Dorlewadi,18.0944,74.6111,BARAMATI,HGZ
1.80602E+14,Dhumalwadi,18.1006,74.4806,BARAMATI,HGZ
1.8064E+14,Pimpri (Kh) Malvasti,18.1111,74.2028,PURANDHAR,HGZ
1.8081E+14,Karanje,18.1361,74.2542,BARAMATI,HGZ
1.80953E+14,Kamatwadi-Walha,18.1647,74.1686,PURANDHAR,HGZ
1.81215E+14,Kasurdi-1,18.2042,73.9022,BHOR,HGZ
1.8145E+14,Undavri Kade Pathar,18.2472,74.5389,BARAMATI,HGZ
1.81505E+14,Pangre Sailar Basti,18.2514,74.0833,PURANDHAR,HGZ
1.816E+14,Bhadalwadi,18.2667,74.7667,INDAPUR,HGZ
1.81605E+14,Jejuri,18.2681,74.1708,PURANDHAR,HGZ
1.817E+14,Sakurde,18.2833,74.1167,PURANDHAR,HGZ
1.818E+14,Wehle,18.3,73.6333,VELHE,HGZ
1.81809E+14,Kolawade,18.3025,73.6953,VELHE,HGZ
1.8181E+14,Narayanpur,18.3028,73.975,PURANDHAR,HGZ
1.82E+14,Shivpur Khed,18.3333,73.85,HAVELI,HGZ
1.91222E+14,Junnar,19.2061,73.8694,JUNNAR,HGZ
1.8245E+14,Zendewadi,18.4139,74.0167,PURANDHAR,HGZ
1.82455E+14,Zendewadi-1,18.4153,74.0181,PURANDHAR,HGZ
1.826E+14,Patas,18.4333,74.4333,DAUND,HGZ
1.82917E+14,Uruli Kanchan (Sarpatwadfi),18.4881,74.1,HAVELI,HGZ
1.82947E+14,Bukum,18.4964,73.72,MULSHI,HGZ
1.83039E+14,Khutbhav_Pz,18.5108,74.33,DAUND,HGZ
1.83157E+14,Mulshi,18.5325,73.5197,MULSHI,HGZ
1.8322E+14,Pune,18.5389,73.8458,PUNE CITY,HGZ
1.83349E+14,Khadki,18.5636,73.8406,PUNE CITY,HGZ
1.83455E+14,Kolwan,18.5819,73.5319,MULSHI,HGZ
1.83557E+14,Wagholi-1,18.5992,74.0086,HAVELI,HGZ
1.838E+14,Parne,18.6333,74.0611,HAVELI,HGZ
1.84526E+14,Kharabwadi,18.7572,73.8431,HAVELI,HGZ
1.8453E+14,Lonawala,18.7583,73.4181,MAWAL,HGZ
1.84542E+14,Kamshet,18.7617,73.5644,HAVELI,HGZ
1.85009E+14,Pabal New,18.8358,74.0558,AMBEGAON,HGZ
1.8515E+14,Rajgurnagar (Khed),18.8639,73.8972,KHED,HGZ
1.8541E+14,Loni (Ambegaon),18.9028,74.0875,AMBEGAON,HGZ
1.91422E+14,Kamunde,19.2394,74.025,JUNNAR,HGZ
1.90355E+14,Mahalunge_1,19.0653,73.915,AMBEGAON,HGZ
1.84129E+14,Shikrapur,18.6914,74.1306,HAVELI,HGZ
CGWBNG0586,Kauthe_1,18.8912,74.1795,-,GGZ
CGWNAG2198,Khutbhav_1,18.5108,74.33,-,GGZ
CGWNAG2197,Parawadi,18.2814,74.6525,-,GGZ
CGWBNG0540,Khadakwasala_3,18.4456,73.7769,-,GGZ
