gw_code,year,month,recharge_mm_sy02,recharge_mm_sy05,recharge_mm_sy10
1.8054E+14,2021,11,0.0,0.0,0.0
1.8054E+14,2022,1,0.0,0.0,0.0
1.8054E+14,2022,5,0.0,0.0,0.0
1.8054E+14,2022,8,108.0,270.0,540.0
1.8054E+14,2022,11,22.0,55.00000000000001,110.00000000000001
1.8054E+14,2023,3,0.0,0.0,0.0
1.8054E+14,2023,5,0.0,0.0,0.0
1.805E+14,2021,11,0.0,0.0,0.0
1.805E+14,2022,1,0.0,0.0,0.0
1.805E+14,2022,5,37.00000000000001,92.50000000000001,185.00000000000003
1.805E+14,2022,8,63.00000000000001,157.50000000000003,315.00000000000006
1.805E+14,2022,11,20.0,50.0,100.0
1.805E+14,2023,3,0.0,0.0,0.0
1.805E+14,2023,5,0.0,0.0,0.0
1.80602E+14,2021,11,0.0,0.0,0.0
1.80602E+14,2022,1,17.400000000000002,43.50000000000001,87.00000000000001
1.80602E+14,2022,5,0.0,0.0,0.0
1.80602E+14,2022,8,199.0,497.49999999999994,994.9999999999999
1.80602E+14,2022,11,0.0,0.0,0.0
1.80602E+14,2023,3,10.999999999999996,27.499999999999993,54.999999999999986
1.80602E+14,2023,5,0.0,0.0,0.0
1.8064E+14,2021,11,0.0,0.0,0.0
1.8064E+14,2022,1,10.199999999999996,25.49999999999999,50.99999999999998
1.8064E+14,2022,5,0.0,0.0,0.0
1.8064E+14,2022,8,54.0,135.0,270.0
1.8064E+14,2022,11,0.0,0.0,0.0
1.8064E+14,2023,3,0.0,0.0,0.0
1.8064E+14,2023,5,12.400000000000002,31.000000000000007,62.000000000000014
1.8081E+14,2021,11,0.0,0.0,0.0
1.8081E+14,2022,1,10.0,25.0,50.0
1.8081E+14,2022,5,0.0,0.0,0.0
1.8081E+14,2022,8,78.0,195.0,390.0
1.8081E+14,2022,11,0.0,0.0,0.0
1.8081E+14,2023,3,0.0,0.0,0.0
1.8081E+14,2023,5,0.0,0.0,0.0
1.80953E+14,2021,11,0.0,0.0,0.0
1.80953E+14,2022,1,30.0,75.0,150.0
1.80953E+14,2022,5,0.0,0.0,0.0
1.80953E+14,2022,8,98.0,245.00000000000003,490.00000000000006
1.80953E+14,2022,11,0.0,0.0,0.0
